Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019:02:09-00:00:01,20,2209,29822,716,57,639,0,1,86,65535,65535,65535,82,65535,0,0,0,0,65535,0,0,1808,69,14,238,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,53150
2019:02:09-00:00:06,79,20,2209,29822,204,14594,127,2,256,86,65535,65535,255,21247,65535,0,0,0,0,65535,0,0,1808,69,14,238,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:09-00:00:11,79,20,2209,29822,204,14594,127,2,256,86,65535,65535,255,21247,65535,0,0,0,0,65535,0,0,1808,69,14,238,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:09-00:00:16,79,20,2209,29822,204,14594,127,2,256,86,65535,65535,255,21247,65535,0,0,0,0,65535,0,0,1808,69,14,238,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:09-00:00:21,79,20,2209,29822,204,14594,127,2,256,86,65535,65535,255,21247,65535,0,0,0,0,65535,0,0,1808,69,14,238,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:09-00:00:26,79,20,2209,29822,204,14594,127,2,256,86,65535,65535,255,21247,65535,0,0,0,0,65535,0,0,1808,69,14,238,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:09-00:00:31,79,20,2209,29822,204,14594,127,2,256,86,65535,65535,255,21247,65535,0,0,0,0,65535,0,0,1808,69,14,238,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:09-00:00:37,79,20,2210,29824,203,14338,127,2,257,86,65535,65535,255,21247,65535,0,0,0,0,65535,0,0,1808,69,14,238,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:09-00:00:42,79,20,2210,29824,203,14338,127,2,256,86,65535,65535,255,21247,65535,0,0,0,0,65535,0,0,1808,69,14,238,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:09-00:00:47,79,20,2210,29824,203,14338,127,2,256,86,65535,65535,255,21247,65535,0,0,0,0,65535,0,0,1808,69,14,238,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
