Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019:02:19-00:00:03,O,1249,29875,703,58,641,3,2,51,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,36512
2019:02:19-00:00:08,O,1249,29875,703,58,641,2,2,130,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,63623
2019:02:19-00:00:13,O,1249,29875,703,58,641,2,2,140,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,37727
2019:02:19-00:00:18,O,1249,29875,703,58,641,2,2,149,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,21555
2019:02:19-00:00:23,O,1249,29875,703,58,641,1,2,120,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,2859
2019:02:19-00:00:29,O,1249,29875,703,58,641,4,2,145,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,12837
2019:02:19-00:00:34,O,1249,29875,703,58,641,6,2,139,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,8496
2019:02:19-00:00:39,O,1250,29874,702,58,641,4,2,113,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,53156
2019:02:19-00:00:44,O,1250,29874,702,58,641,1,2,84,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,34732
2019:02:19-00:00:49,O,1250,29874,702,58,641,2,2,74,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,17159
2019:02:19-00:00:55,O,1250,29874,702,58,641,1,2,74,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,25892
2019:02:19-00:01:00,O,1250,29874,702,58,641,0,2,74,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,39114
2019:02:19-00:01:05,O,1250,29874,702,58,641,1,2,123,65535,65535,65535,87,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,46743
2019:02:19-00:01:13
2019:02:19-00:01:24
2019:02:19-00:01:34,O,1250,29874,702,58,640,2,2,173,65535,65535,65535,87,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,45,616,1813,10,13,9831
2019:02:19-00:01:39,O,1251,29878,702,58,641,1,2,173,65535,65535,65535,87,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,75,616,1813,10,13,2706
2019:02:19-00:01:44,O,1251,29878,702,58,641,1,2,168,65535,65535,65535,87,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,75,616,1813,10,13,14942
2019:02:19-00:01:49,O,1251,29878,702,58,640,1,2,168,65535,65535,65535,87,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,75,616,1813,10,13,13651
2019:02:19-00:01:55,O,1251,29878,702,58,640,1,2,168,65535,65535,65535,87,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,75,616,1813,10,13,13651
2019:02:19-00:02:00,O,1251,29878,702,58,641,0,2,168,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,75,616,1813,10,13,38254
2019:02:19-00:02:05,O,1251,29878,702,58,641,0,2,168,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,75,616,1813,10,13,38254
2019:02:19-00:02:10
2019:02:19-00:02:21
2019:02:19-00:02:31,O,1251,29878,702,58,640,2,2,105,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,75,616,1813,10,13,21700
2019:02:19-00:02:36,O,1252,29878,702,58,640,2,2,105,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,75,616,1813,10,13,27401
2019:02:19-00:02:41,O,1252,29878,702,58,640,1,2,105,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,75,616,1813,10,13,19754
2019:02:19-00:02:46,O,1252,29878,702,58,640,1,2,105,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,54,136,360,65535,65535,0,0,0,0,0,0,825,6,75,616,1813,10,13,19754
