Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019-03-08 00:00:00,O,129,29854,693,62,639,1,1,55,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,45,611,1813,10,13,53471
2019-03-08 00:01:00,O,130,29859,693,62,639,2,1,76,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,45,611,1813,10,13,6172
2019-03-08 00:02:00,O,131,29859,692,62,639,0,1,138,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,75,611,1813,10,13,43568
2019-03-08 00:03:00,O,132,29858,692,62,639,0,1,138,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,75,611,1813,10,13,264
2019-03-08 00:04:00,O,133,29862,691,62,639,0,1,138,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,75,611,1813,10,13,5998
2019-03-08 00:05:00,O,134,29860,691,62,638,0,1,138,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,75,611,1813,10,13,2793
2019-03-08 00:06:00,O,135,29861,691,62,638,1,0,138,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,75,611,1813,10,13,24453
2019-03-08 00:07:00,O,136,29863,691,62,638,0,1,138,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,75,611,1813,10,13,51309
2019-03-08 00:08:00,O,137,29864,690,62,638,2,1,100,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,75,611,1813,10,13,60006
2019-03-08 00:09:00,O,138,29864,690,62,638,1,1,100,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,75,611,1813,10,13,55092
2019-03-08 00:10:00,O,139,29868,690,62,637,2,1,100,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,75,611,1813,10,13,56009
2019-03-08 00:11:00,O,140,29868,690,62,637,0,0,101,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,75,611,1813,10,13,4365
2019-03-08 00:12:00,O,141,29870,689,62,637,1,0,101,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,75,611,1813,10,13,24001
2019-03-08 00:13:00,O,142,29869,689,62,637,0,1,101,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,825,6,75,611,1813,10,13,22119
2019-03-08 00:14:00,O,143,29872,689,62,637,1,1,101,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,75,611,1813,10,13,43182
2019-03-08 00:15:00,O,144,29873,689,62,637,1,1,101,65535,65535,65535,85,65535,0,0,0,0,65535,0,64,2240,39,61,531,65535,65535,0,0,0,0,0,0,824,6,75,611,1813,10,13,47150
